號碼,選區,選民人數,投票率,劉志成,劉志成%,黃成智,黃成智%,周浩鼎,周浩鼎%,梁思豪,梁思豪%,方國珊,方國珊%,梁天琦,梁天琦%,楊岳橋,楊岳橋%,總有效票,無效,得票率差
N01,聯和墟,10164,44.06%,14,0.31%,217,4.86%,1705,38.19%,16,0.36%,240,5.38%,718,16.08%,1554,34.81%,4464,14,3.38%
N02,粉嶺市,6180,45.70%,20,0.71%,171,6.09%,992,35.32%,21,0.75%,175,6.23%,425,15.13%,1005,35.78%,2809,15,0.46%
N03,祥華,11423,38.32%,24,0.55%,286,6.55%,1467,33.59%,19,0.44%,241,5.52%,831,19.03%,1499,34.33%,4367,10,0.73%
N04,華都,11161,48.03%,28,0.53%,352,6.60%,1902,35.67%,21,0.39%,238,4.46%,1061,19.90%,1730,32.45%,5332,29,3.23%
N05,華明,11578,40.81%,27,0.57%,236,5.02%,1450,30.84%,14,0.30%,172,3.66%,1324,28.16%,1478,31.44%,4701,24,0.60%
N06,欣盛,13256,46.27%,24,0.39%,247,4.05%,2442,40.01%,24,0.39%,248,4.06%,1270,20.81%,1848,30.28%,6103,30,9.73%
N07,盛福,9828,48.19%,30,0.64%,222,4.71%,1770,37.58%,20,0.42%,261,5.54%,994,21.10%,1413,30.00%,4710,26,7.58%
N08,粉嶺南,6564,57.60%,27,0.72%,224,5.94%,1245,33.02%,14,0.37%,221,5.86%,552,14.64%,1487,39.44%,3770,11,6.42%
N09,清河,8575,39.20%,17,0.51%,112,3.34%,1638,48.91%,9,0.27%,139,4.15%,693,20.69%,741,22.13%,3349,12,26.78%
N10,御太,7221,41.20%,13,0.44%,126,4.25%,1306,44.02%,15,0.51%,106,3.57%,588,19.82%,813,27.40%,2967,8,16.62%
N11,上水鄉郊,9772,35.34%,28,0.82%,206,6.00%,1454,42.38%,17,0.50%,216,6.30%,452,13.17%,1058,30.84%,3431,22,11.54%
N12,彩園,11002,42.02%,28,0.61%,420,9.11%,1842,39.95%,19,0.41%,219,4.75%,847,18.37%,1236,26.81%,4611,12,13.14%
N13^,石湖墟,9381,47.28%,28,0.63%,321,7.25%,1423,32.12%,11,0.25%,203,4.58%,821,18.53%,1623,36.64%,4430,5,4.51%
N14,天平西,10233,42.37%,10,0.23%,239,5.53%,1491,34.50%,15,0.35%,114,2.64%,883,20.43%,1570,36.33%,4322,14,1.83%
N15,鳳翠,8296,40.51%,22,0.66%,142,4.24%,1250,37.34%,10,0.30%,172,5.14%,675,20.16%,1077,32.17%,3348,13,5.17%
N16,沙打,8488,33.62%,11,0.39%,79,2.79%,1794,63.30%,10,0.35%,100,3.53%,302,10.66%,538,18.98%,2834,20,44.32%
N17,天平東,9262,44.02%,22,0.54%,198,4.88%,1345,33.14%,14,0.34%,164,4.04%,806,19.86%,1510,37.20%,4059,18,4.07%
N18,皇后山,8392,34.85%,25,0.86%,150,5.15%,1284,44.08%,17,0.58%,205,7.04%,393,13.49%,839,28.80%,2913,12,15.28%
P01,大埔墟,6216,38.93%,14,0.58%,67,2.79%,979,40.71%,2,0.08%,119,4.95%,368,15.30%,856,35.59%,2405,15,5.11%
P02,大埔中,7544,55.65%,20,0.48%,176,4.21%,1311,31.33%,17,0.41%,197,4.71%,648,15.49%,1815,43.38%,4184,14,12.05%
P03,頌汀,8798,46.99%,20,0.49%,141,3.42%,1388,33.69%,15,0.36%,191,4.64%,843,20.46%,1522,36.94%,4120,14,3.25%
P04,大元,8662,38.55%,23,0.69%,96,2.89%,1250,37.58%,12,0.36%,181,5.44%,708,21.29%,1056,31.75%,3326,13,5.83%
P05,富亨,11399,40.11%,25,0.55%,144,3.16%,1364,29.93%,10,0.22%,184,4.04%,1128,24.75%,1702,37.35%,4557,15,7.42%
P06*,怡富,11659,42.65%,12,0.24%,162,3.27%,1609,32.49%,24,0.48%,198,4.00%,853,17.23%,2094,42.29%,4952,20,9.79%
P07,富明新,8982,44.78%,21,0.53%,131,3.28%,1248,31.22%,22,0.55%,183,4.58%,712,17.81%,1680,42.03%,3997,25,10.81%
P08,廣福及寶湖,8635,43.27%,15,0.40%,97,2.61%,1553,41.80%,13,0.35%,162,4.36%,625,16.82%,1250,33.65%,3715,21,8.16%
P09,宏福,8433,45.20%,22,0.58%,119,3.13%,1539,40.52%,17,0.45%,208,5.48%,554,14.59%,1339,35.26%,3798,14,5.27%
P10,大埔滘,7947,51.68%,26,0.64%,174,4.25%,1727,42.20%,4,0.10%,215,5.25%,417,10.19%,1529,37.37%,4092,15,4.84%
P11,運頭塘,11580,46.39%,39,0.73%,155,2.90%,1833,34.24%,21,0.39%,265,4.95%,1138,21.26%,1903,35.54%,5354,18,1.31%
P12*,新富,9225,51.36%,27,0.57%,255,5.42%,1546,32.83%,26,0.55%,232,4.93%,622,13.21%,2001,42.49%,4709,29,9.66%
P13*,林村谷,10208,44.03%,27,0.60%,164,3.67%,1778,39.79%,27,0.60%,208,4.66%,632,14.15%,1632,36.53%,4468,27,3.27%
P14,寶雅,10432,39.50%,23,0.56%,97,2.36%,1441,35.05%,17,0.41%,157,3.82%,876,21.31%,1500,36.49%,4111,10,1.44%
P15,太和,10790,38.91%,22,0.53%,123,2.94%,1612,38.57%,13,0.31%,154,3.69%,967,23.14%,1288,30.82%,4179,19,7.75%
P16,舊墟及太湖,7479,54.19%,23,0.57%,191,4.73%,1240,30.72%,26,0.64%,192,4.76%,644,15.95%,1721,42.63%,4037,16,11.91%
P17*,康樂園,7656,48.05%,14,0.38%,170,4.63%,1431,39.01%,14,0.38%,173,4.72%,448,12.21%,1418,38.66%,3668,11,0.35%
P18,船灣,8337,46.70%,28,0.72%,138,3.56%,1718,44.32%,17,0.44%,178,4.59%,429,11.07%,1368,35.29%,3876,17,9.03%
P19,西貢北,5752,45.48%,17,0.65%,140,5.38%,920,35.34%,14,0.54%,185,7.11%,246,9.45%,1081,41.53%,2603,13,6.19%
Q01*,西貢市中心,6197,42.00%,14,0.54%,53,2.04%,1136,43.83%,9,0.35%,270,10.42%,267,10.30%,843,32.52%,2592,11,11.30%
Q02,白沙灣,6928,40.70%,14,0.50%,82,2.91%,1042,37.02%,7,0.25%,372,13.21%,260,9.24%,1038,36.87%,2815,5,0.14%
Q03*,西貢離島,4283,42.80%,9,0.49%,39,2.14%,757,41.48%,6,0.33%,204,11.18%,195,10.68%,615,33.70%,1825,8,7.78%
