號碼,選區,選民人數,涂謹申,李慧琼,鄺俊宇,何啟明,陳琬琛,王國興,關永業,梁耀忠,周浩鼎,總有效,非建制,建制,得票率差,涂謹申%,李慧琼%,鄺俊宇%,何啟明%,陳琬琛%,王國興%,關永業%,梁耀忠%,周浩鼎%
A01*,中環,3697.09390709833,380.5312688518,502.571687110396,549.480394128293,6.84918560225216,35.2545747033984,192.207520611301,10.3448622561834,198.190227227026,197.971244721496,2073.40096521215,56.94%,43.06%,13.89%,18.35%,24.24%,26.50%,0.33%,1.70%,9.27%,0.50%,9.56%,9.55%
A02*,半山東,5150.80327026796,562.225580001712,771.570927146648,873.123277116685,16.4526153582741,59.5698142282339,221.259309990583,16.4526153582741,306.359044602346,302.387723653797,3129.40090745655,58.61%,41.39%,17.22%,17.97%,24.66%,27.90%,0.53%,1.90%,7.07%,0.53%,9.79%,9.66%
A03*,衛城,5315.19672973204,590.774419998288,801.429072853352,870.876722883315,17.5473846417259,65.4301857717661,205.740690009417,18.5473846417259,315.640955397654,280.612276346203,3166.59909254345,59.33%,40.67%,18.66%,18.66%,25.31%,27.50%,0.55%,2.07%,6.50%,0.59%,9.97%,8.86%
A04*,山頂,4000.90609290167,276.4687311482,672.428312889604,501.519605871707,10.1508143977478,67.7454252966017,134.792479388699,7.65513774381661,126.809772772974,349.028755278504,2146.59903478785,46.14%,53.86%,-7.73%,12.88%,31.33%,23.36%,0.47%,3.16%,6.28%,0.36%,5.91%,16.26%
A05*,大學,6474.78648495725,659.34111677469,978.867773371573,1125.37357968688,12.1134514185525,59.4010425140787,283.946261835437,29.8355229447805,446.904898820524,392.412442659297,3988.19609002581,58.50%,41.50%,16.99%,16.53%,24.54%,28.22%,0.30%,1.49%,7.12%,0.75%,11.21%,9.84%
A06,堅摩,6243,648,1089,1043,30,69,282,31,448,180,3820,59.40%,40.60%,18.80%,16.96%,28.51%,27.30%,0.79%,1.81%,7.38%,0.81%,11.73%,4.71%
A07*,觀龍,7663.21351504275,651.65888322531,1482.13222662843,1040.62642031312,24.8865485814475,63.5989574859213,435.053738164563,45.1644770552195,564.095101179476,228.587557340703,4535.80390997419,52.69%,47.31%,5.39%,14.37%,32.68%,22.94%,0.55%,1.40%,9.59%,1.00%,12.44%,5.04%
A08,西環,6822,627,1235,1084,32,59,403,37,532,219,4228,56.08%,43.92%,12.16%,14.83%,29.21%,25.64%,0.76%,1.40%,9.53%,0.88%,12.58%,5.18%
A09,寶翠,8353,771,1009,1315,24,70,548,31,643,374,4785,59.64%,40.36%,19.29%,16.11%,21.09%,27.48%,0.50%,1.46%,11.45%,0.65%,13.44%,7.82%
A10*,石塘咀,7318.81146881288,600.203118712274,903.094466800805,1051.35181086519,12.7533199195171,57.389939637827,670.346378269618,30.2891348088531,527.66861167002,252.675150905433,4105.77193158954,55.52%,44.48%,11.05%,14.62%,22.00%,25.61%,0.31%,1.40%,16.33%,0.74%,12.85%,6.15%
A11,西營盤,6686,470,976,776,20,49,531,27,440,210,3499,50.93%,49.07%,1.86%,13.43%,27.89%,22.18%,0.57%,1.40%,15.18%,0.77%,12.58%,6.00%
A12*,上環,6016.7210584344,611.28776185226,835.621830209482,840.448732083793,13.4343991179713,61.606394707828,445.03197353914,26.4773980154355,408.334068357222,223.558985667034,3465.80154355017,56.60%,43.40%,13.20%,17.64%,24.11%,24.25%,0.39%,1.78%,12.84%,0.76%,11.78%,6.45%
A13*,東華,4547.2789415656,423.71223814774,735.378169790518,680.551267916207,11.5656008820287,45.393605292172,232.96802646086,17.5226019845645,315.665931642778,140.441014332966,2603.19845644983,57.41%,42.59%,14.81%,16.28%,28.25%,26.14%,0.44%,1.74%,8.95%,0.67%,12.13%,5.39%
A14,正街,5798,607,694,925,14,69,434,29,460,201,3433,61.29%,38.71%,22.58%,17.68%,20.22%,26.94%,0.41%,2.01%,12.64%,0.84%,13.40%,5.85%
A15*,水街,6370.18853118712,622.796881287726,874.905533199195,971.648189134809,25.2466800804829,66.610060362173,440.653621730382,30.7108651911469,520.33138832998,244.324849094567,3797.22806841046,58.92%,41.08%,17.84%,16.40%,23.04%,25.59%,0.66%,1.75%,11.60%,0.81%,13.70%,6.43%
B01*,軒尼詩,4529.14554670529,364.649710354815,538.504706734251,578.62509051412,11.5903330919623,42.795076031861,321.854634322954,16.0481535119479,290.649891383056,159.589971035482,2324.30756698045,56.12%,43.88%,12.24%,15.69%,23.17%,24.89%,0.50%,1.84%,13.85%,0.69%,12.50%,6.87%
B02*,愛群,5371.73908441431,433.97240883242,740.883265446303,700.534734932491,8.83336798535935,44.0730543377013,309.422332811915,26.7666562521323,392.985592048009,172.232202699688,2829.70361534602,56.80%,43.20%,13.59%,15.34%,26.18%,24.76%,0.31%,1.56%,10.93%,0.95%,13.89%,6.09%
