號碼,選區,選民人數,投票率,黃國健,胡穗珊,高達斌,譚香文,謝偉俊,柯創盛,呂永基,胡志偉,譚文豪,黃洋達,陳澤滔,譚得志,總有效,無效,非建制,建制,得票率差,黃國健%,胡穗珊%,高達斌%,譚香文%,謝偉俊%,柯創盛%,呂永基%,胡志偉%,譚文豪%,黃洋達%,陳澤滔%,譚得志%
H01*,龍趣,7877,54.06%,794.550678696253,30.0917662358774,34.5735186539868,32.01251727221,775.343168332927,368.143948630415,11.5245062179956,572.383808827115,535.249288791352,457.778996992603,169.026091197269,351.497439648866,4132.17572949687,126.129318052508,52.26%,47.74%,4.52%,19.23%,0.73%,0.84%,0.77%,18.76%,8.91%,0.28%,13.85%,12.95%,11.08%,4.09%,8.51%
H02*,龍下,8512,51.46%,529.736225426757,35.2995117737929,33.8082520236888,38.4479742013526,671.513400567614,396.18739571109,15.7239657414029,938.869242903646,580.964250404531,443.246052324328,147.381314965285,463.130875294084,4294.30846133757,85.7922701736748,62.01%,37.99%,24.03%,12.34%,0.82%,0.79%,0.90%,15.64%,9.23%,0.37%,21.86%,13.53%,10.32%,3.43%,10.78%
H03*,龍上,11722,52.80%,1782.44932130375,48.9082337641226,48.4264813460132,46.98748272779,703.656831667073,401.856051369585,34.4754937820044,868.616191172885,676.750711208648,642.221003007397,229.973908802731,510.502560351134,5994.82427050313,193.870681947492,51.02%,48.98%,2.04%,29.73%,0.82%,0.81%,0.78%,11.74%,6.70%,0.58%,14.49%,11.29%,10.71%,3.84%,8.52%
H04,鳳凰,6278,61.69%,321,34,37,46,740,335,17,719,576,380,182,432,3819,54,62.48%,37.52%,24.95%,8.41%,0.89%,0.97%,1.20%,19.38%,8.77%,0.45%,18.83%,15.08%,9.95%,4.77%,11.31%
H05*,鳳德,11272,51.65%,591.698945349952,57.6388622563119,41.4279322467242,125.184403962927,598.003195909236,1140.16874400767,27.9188239054011,893.402364972835,780.826462128476,565.581335890061,277.387024608501,585.394694790668,5684.63279002876,137.792905081496,58.29%,41.71%,16.57%,10.41%,1.01%,0.73%,2.20%,10.52%,20.06%,0.49%,15.72%,13.74%,9.95%,4.88%,10.30%
H06*,龍星,11823,65.73%,647.301054650048,47.3611377436881,48.5720677532758,541.815596037073,1198.99680409076,733.83125599233,29.0811760945989,1242.59763502717,1313.17353787152,704.418664109939,371.612975391499,810.605305209332,7689.36720997123,82.2070949185043,65.81%,34.19%,31.63%,8.42%,0.62%,0.63%,7.05%,15.59%,9.54%,0.38%,16.16%,17.08%,9.16%,4.83%,10.54%
H07,新蒲崗,10650,59.14%,562,41,49,36,1817,470,24,770,931,654,221,602,6177,121,53.08%,46.92%,6.17%,9.10%,0.66%,0.79%,0.58%,29.42%,7.61%,0.39%,12.47%,15.07%,10.59%,3.58%,9.75%
H08,東頭,10105,54.83%,621,63,61,44,556,1258,38,742,799,585,130,512,5409,132,53.85%,46.15%,7.71%,11.48%,1.16%,1.13%,0.81%,10.28%,23.26%,0.70%,13.72%,14.77%,10.82%,2.40%,9.47%
H09*,東美,9974,49.36%,585.718815251418,42.9431702983833,47.1110236563076,46.6976335593283,872.35682594165,537.347860920199,22.19031325178,725.594607712311,716.031734398279,519.947555921462,163.921744141892,510.2432537188,4790.10453877181,132.68036573574,57.36%,42.64%,14.72%,12.23%,0.90%,0.98%,0.97%,18.21%,11.22%,0.46%,15.15%,14.95%,10.85%,3.42%,10.65%
H10*,樂富,8840,48.90%,501.544959321825,35.7573179278239,44.0807243200037,40.8543922393191,781.129773490736,512.464743368712,20.0857210068171,537.536149384043,666.004015197191,472.80639175421,147.696940892823,440.625870987117,4200.58699989062,122.527364090586,56.22%,43.78%,12.43%,11.94%,0.85%,1.05%,0.97%,18.60%,12.20%,0.48%,12.80%,15.86%,11.26%,3.52%,10.49%
H11,橫頭磡,10892,53.42%,439,48,31,35,514,1672,14,563,899,674,218,577,5684,134,53.27%,46.73%,6.54%,7.72%,0.84%,0.55%,0.62%,9.04%,29.42%,0.25%,9.90%,15.82%,11.86%,3.84%,10.15%
H12,天強,9759,64.40%,615,58,55,55,1215,586,27,815,1343,576,251,591,6187,98,60.06%,39.94%,20.12%,9.94%,0.94%,0.89%,0.89%,19.64%,9.47%,0.44%,13.17%,21.71%,9.31%,4.06%,9.55%
H13,翠竹及鵬程,12158,54.48%,1015,45,54,50,1059,545,34,987,1057,731,206,730,6513,111,58.96%,41.04%,17.92%,15.58%,0.69%,0.83%,0.77%,16.26%,8.37%,0.52%,15.15%,16.23%,11.22%,3.16%,11.21%
H14,竹園南,8668,52.00%,1375,49,41,33,388,306,30,565,546,498,126,402,4359,148,51.59%,48.41%,3.19%,31.54%,1.12%,0.94%,0.76%,8.90%,7.02%,0.69%,12.96%,12.53%,11.42%,2.89%,9.22%
H15,竹園北,11134,50.93%,1152,45,34,26,921,368,26,773,839,527,203,626,5540,131,55.32%,44.68%,10.65%,20.79%,0.81%,0.61%,0.47%,16.62%,6.64%,0.47%,13.95%,15.14%,9.51%,3.66%,11.30%
H16,慈雲西,11627,53.01%,505,52,38,29,404,1509,136,1122,515,824,264,537,5935,228,58.62%,41.38%,17.24%,8.51%,0.88%,0.64%,0.49%,6.81%,25.43%,2.29%,18.90%,8.68%,13.88%,4.45%,9.05%
H17*,正愛,11587,57.61%,1130.551555229,60.9130541268675,71.5165319617928,43.8330475957221,763.513103110458,767.707894522002,29.8156584210956,1051.9323210058,957.189648134542,685.944485264103,253.836558086374,731.252265491061,6548.00612294882,127.095681280105,58.26%,41.74%,16.52%,17.27%,0.93%,1.09%,0.67%,11.66%,11.72%,0.46%,16.06%,14.62%,10.48%,3.88%,11.17%
H18*,正安,11363,53.85%,1581.53891438426,68.5671772267237,65.7738685906934,27.6347528186425,398.78299495584,496.375841665844,40.0826495899541,957.72539653564,555.217206147226,892.891754376781,240.64030655451,606.889050116674,5932.11991296279,186.509981703321,57.14%,42.86%,14.28%,26.66%,1.16%,1.11%,0.47%,6.72%,8.37%,0.68%,16.14%,9.36%,15.05%,4.06%,10.23%
H19*,慈雲東,10851,55.35%,711.90953038674,51.5197686464088,48.7095994475138,36.5321995856354,507.703901933702,1155.91626381215,28.1016919889503,868.342282458564,716.593145718232,782.163760359116,273.523135359116,697.858684392265,5878.87396408839,127.394337016575,58.76%,41.24%,17.53%,12.11%,0.88%,0.83%,0.62%,8.64%,19.66%,0.48%,14.77%,12.19%,13.30%,4.65%,11.87%
H20,瓊富,12445,62.11%,1501,35,40,28,548,417,25,3205,582,535,137,531,7584,146,66.96%,33.04%,33.91%,19.79%,0.46%,0.53%,0.37%,7.23%,5.50%,0.33%,42.26%,7.67%,7.05%,1.81%,7.00%
H21*,彩雲東,7225,60.87%,588.617175094545,20.3263484924735,32.183385113083,21.1732796796599,420.924800031639,974.817796451541,13.5508989949823,669.922569064439,592.004899843291,416.690144095707,131.274334013891,427.70024952913,4309.18588040438,88.9277746545715,53.20%,46.80%,6.41%,13.66%,0.47%,0.75%,0.49%,9.77%,22.62%,0.31%,15.55%,13.74%,9.67%,3.05%,9.93%
H22,彩雲南,7473,52.27%,577,31,28,16,242,705,17,1043,328,389,100,303,3779,127,58.93%,41.07%,17.86%,15.27%,0.82%,0.74%,0.42%,6.40%,18.66%,0.45%,27.60%,8.68%,10.29%,2.65%,8.02%
H23*,彩雲西,8721,55.70%,1563.38282490546,36.6736515075265,28.816614886917,27.8267203203401,282.075199968361,417.182203548459,18.4491010050177,864.077430935561,508.995100156709,443.309855904293,130.725665986109,413.29975047087,4734.81411959562,123.072225345429,51.60%,48.40%,3.21%,33.02%,0.77%,0.61%,0.59%,5.96%,8.81%,0.39%,18.25%,10.75%,9.36%,2.76%,8.73%
H24*,池彩,8768,61.87%,1216.69340974212,29.9713467048711,27.9656160458453,23.3008595988539,481.0888252149,375.78223495702,16.3123209169054,1413.7106017192,605.048710601719,471.042979942693,166.573065902579,524.054441260745,5351.54441260745,72.89111747851,60.73%,39.27%,21.46%,22.74%,0.56%,0.52%,0.44%,8.99%,7.02%,0.30%,26.42%,11.31%,8.80%,3.11%,9.79%
H25*,彩虹,9300,53.65%,1900.30659025788,46.0286532951289,41.0343839541547,27.6991404011461,289.9111747851,247.21776504298,25.6876790830946,776.289398280802,440.951289398281,468.957020057307,143.426934097421,409.945558739255,4817.45558739255,172.10888252149,48.55%,51.45%,-2.90%,39.45%,0.96%,0.85%,0.57%,6.02%,5.13%,0.53%,16.11%,9.15%,9.73%,2.98%,8.51%
J01,觀塘中心,7479,52.44%,457,37,29,27,866,323,17,582,493,417,194,408,3850,72,56.49%,43.51%,12.99%,11.87%,0.96%,0.75%,0.70%,22.49%,8.39%,0.44%,15.12%,12.81%,10.83%,5.04%,10.60%
J02,九龍灣,7007,70.07%,432,29,43,47,952,756,16,631,957,379,141,492,4875,35,55.22%,44.78%,10.44%,8.86%,0.59%,0.88%,0.96%,19.53%,15.51%,0.33%,12.94%,19.63%,7.77%,2.89%,10.09%
J03*^,啟業,8355,56.67%,378.705243367454,48.6383956548987,58.7858784207228,32.6262795069981,442.067056611657,1134.86484228118,12.1474827658241,765.149780655943,645.050971380823,405.234593691247,142.579903906413,442.543764361813,4508.39419260497,226.129308543973,55.32%,44.68%,10.64%,8.40%,1.08%,1.30%,0.72%,9.81%,25.17%,0.27%,16.97%,14.31%,8.99%,3.16%,9.82%
J04,麗晶,10320,61.98%,468,45,35,28,756,1097,23,708,1684,560,299,622,6325,71,62.75%,37.25%,25.50%,7.40%,0.71%,0.55%,0.44%,11.95%,17.34%,0.36%,11.19%,26.62%,8.85%,4.73%,9.83%
J05,坪石,7947,52.99%,328,36,31,35,234,1383,13,503,586,411,131,386,4077,134,51.53%,48.47%,3.07%,8.05%,0.88%,0.76%,0.86%,5.74%,33.92%,0.32%,12.34%,14.37%,10.08%,3.21%,9.47%
J06,雙彩,8728,51.23%,503,44,36,26,399,1514,16,404,530,400,94,422,4388,83,44.12%,55.88%,-11.76%,11.46%,1.00%,0.82%,0.59%,9.09%,34.50%,0.36%,9.21%,12.08%,9.12%,2.14%,9.62%
J07,佐敦谷,9612,51.25%,628,56,47,38,472,1194,33,567,593,490,165,486,4769,157,50.91%,49.09%,1.82%,13.17%,1.17%,0.99%,0.80%,9.90%,25.04%,0.69%,11.89%,12.43%,10.27%,3.46%,10.19%
J08*,順天,11610,51.79%,812.064466722361,36.900306321359,51.4157616262879,29.3195488721805,395.999582289056,1067.83416875522,15.030910609858,1940.21512113617,381.549429128377,476.033973823448,193.920774157616,437.422305764411,5837.70634920634,175.46365914787,60.13%,39.87%,20.27%,13.91%,0.63%,0.88%,0.50%,6.78%,18.29%,0.26%,33.24%,6.54%,8.15%,3.32%,7.49%
J09*,雙順,10195,62.03%,675.013859790492,28.276390008058,42.1785656728445,25.8680096696213,2192.88493150685,1092.58066075745,20.1956486704271,628.52780016116,531.226591458501,416.631909750201,162.08847703465,396.235938759065,6211.70878323932,112.076067687349,35.56%,64.44%,-28.87%,10.87%,0.46%,0.68%,0.42%,35.30%,17.59%,0.33%,10.12%,8.55%,6.71%,2.61%,6.38%
J10*,安利,7630,53.04%,590.921673487147,31.823303670583,31.4056727008676,21.8124414581983,529.115486204095,545.585170487325,14.7734407197149,890.257078702666,421.223979413122,331.334116426351,147.990748807734,343.341755476524,3899.58486755433,147.460273164781,56.48%,43.52%,12.96%,15.15%,0.82%,0.81%,0.56%,13.57%,13.99%,0.38%,22.83%,10.80%,8.50%,3.80%,8.80%
J11,寶達,11357,53.79%,651,43,54,33,497,1914,20,455,567,899,295,484,5912,197,47.29%,52.71%,-5.41%,11.01%,0.73%,0.91%,0.56%,8.41%,32.37%,0.34%,7.70%,9.59%,15.21%,4.99%,8.19%
J12*,秀茂坪北,11791,51.79%,907.971443012383,60.2548647965631,35.154030831438,37.9019459186252,1308.45261561789,703.842431134698,23.5518069244377,795.019080111195,544.951983826131,740.909906494819,245.520849128127,533.14809198888,5936.67904978519,170.364038412939,50.22%,49.78%,0.44%,15.29%,1.01%,0.59%,0.64%,22.04%,11.86%,0.40%,13.39%,9.18%,12.48%,4.14%,8.98%
J13,曉麗,11802,61.51%,662,53,55,45,1759,532,26,1070,1070,674,352,861,7159,101,57.98%,42.02%,15.97%,9.25%,0.74%,0.77%,0.63%,24.57%,7.43%,0.36%,14.95%,14.95%,9.41%,4.92%,12.03%
J14*,秀茂坪南,7544,53.09%,452.028556987617,33.7451352034369,32.845969168562,20.0980540813748,926.547384382108,676.157568865302,9.44819307556229,455.980919888805,358.048016173869,412.090093505181,184.479150871873,343.85190801112,3905.32095021481,99.6359615870609,46.55%,53.45%,-6.91%,11.57%,0.86%,0.84%,0.51%,23.73%,17.31%,0.24%,11.68%,9.17%,10.55%,4.72%,8.80%
J15,秀茂坪中,9177,51.00%,484,33,18,25,280,1516,18,428,426,591,228,433,4480,200,48.71%,51.29%,-2.59%,10.80%,0.74%,0.40%,0.56%,6.25%,33.84%,0.40%,9.55%,9.51%,13.19%,5.09%,9.67%
