號碼,選區,選民人數,投票率,吳文遠,何志光,毛孟靜,梁美芬,譚國僑,朱韶洪,黃毓民,黃碧雲,林依麗,蔣麗芸,關新偉,劉小麗,游蕙禎,李泳漢,狄志遠,總有效,無效,非建制,建制,其他,得票率差,吳文遠%,何志光%,毛孟靜%,梁美芬%,譚國僑%,朱韶洪%,黃毓民%,黃碧雲%,林依麗%,蔣麗芸%,關新偉%,劉小麗%,游蕙禎%,李泳漢%,狄志遠%
E01*,尖沙咀西,4601,66.50%,38.2720484526674,1.42437567410603,419.576785862441,522.672529660665,35.037003235709,5.56583423214138,112.825935451755,367.560441383888,3.96191819464034,733.200365054343,14.5658342321414,362.341740645482,140.354766448187,7.42437567410603,264.393926823198,3029.17788102547,30.2916286401726,49.33%,41.94%,8.73%,7.39%,1.26%,0.05%,13.85%,17.25%,1.16%,0.18%,3.72%,12.13%,0.13%,24.20%,0.48%,11.96%,4.63%,0.25%,8.73%
E02*^,佐敦南,6162,47.85%,73.8173250027871,7.3328468545815,390.107452663736,355.088717120961,35.1976649019912,9.777129139442,204.341999014338,268.871051334655,16.6211195370514,878.5755682705,10.7602641551807,351.48779256294,178.921463251789,7.3328468545815,119.142242933592,2907.37548359813,41.4070677298093,53.10%,42.80%,4.10%,10.30%,2.54%,0.25%,13.42%,12.21%,1.21%,0.34%,7.03%,9.25%,0.57%,30.22%,0.37%,12.09%,6.15%,0.25%,4.10%
E03*,佐敦西,6884,50.75%,87.3355407826175,11.8526805347838,395.505234686996,282.472891633963,50.5298485956573,11.8526805347838,264.50192351307,344.975386091339,12.4765058260882,1096.4667000084,15.0739594143414,484.088426052223,216.467376082631,11.2288552434794,126.453731213861,3411.28174021423,82.5005574136009,55.43%,40.86%,3.71%,14.56%,2.56%,0.35%,11.59%,8.28%,1.48%,0.35%,7.75%,10.11%,0.37%,32.14%,0.44%,14.19%,6.35%,0.33%,3.71%
E04,油麻地南,7843,56.45%,105,15,493,433,150,10,352,372,24,1145,14,658,286,15,229,4301,126,57.66%,37.01%,5.32%,20.65%,2.44%,0.35%,11.46%,10.07%,3.49%,0.23%,8.18%,8.65%,0.56%,26.62%,0.33%,15.30%,6.65%,0.35%,5.32%
E05*,富榮,9876,61.91%,128.250276691507,6.55825278536118,908.682358149487,612.103593300376,88.9007599793404,12.3878108167933,384.750830074522,734.524311960452,10.2017265550063,1322.58097838117,13.1165055707224,968.435327971667,404.425588430606,16.7599793403674,424.829041540618,6036.507341548,77.2416439164761,60.70%,32.27%,7.04%,28.43%,2.12%,0.11%,15.05%,10.14%,1.47%,0.21%,6.37%,12.17%,0.17%,21.91%,0.22%,16.04%,6.70%,0.28%,7.04%
E06,旺角西,5915,45.27%,79,5,335,401,46,10,280,219,9,469,7,386,221,47,116,2630,48,62.24%,33.35%,4.41%,28.90%,3.00%,0.19%,12.74%,15.25%,1.75%,0.38%,10.65%,8.33%,0.34%,17.83%,0.27%,14.68%,8.40%,1.79%,4.41%
E07*,富柏,9411,57.49%,116.749723308493,11.4417472146388,770.317641850513,1111.89640669962,79.0992400206596,14.6121891832067,400.249169925478,468.475688039548,12.7982734449937,945.41902161883,14.8834944292777,666.564672028333,405.574411569394,19.2400206596326,250.170958459382,5287.492658452,122.758356083524,56.08%,39.19%,4.73%,16.89%,2.21%,0.22%,14.57%,21.03%,1.50%,0.28%,7.57%,8.86%,0.24%,17.88%,0.28%,12.61%,7.67%,0.36%,4.73%
E08,奧運,5475,69.99%,60,2,593,659,46,5,171,565,7,524,22,553,230,9,348,3794,38,59.07%,31.76%,9.17%,27.31%,1.58%,0.05%,15.63%,17.37%,1.21%,0.13%,4.51%,14.89%,0.18%,13.81%,0.58%,14.58%,6.06%,0.24%,9.17%
E09,櫻桃,5514,58.69%,66,4,353,898,40,2,194,329,8,418,16,392,299,12,161,3192,44,53.23%,41.73%,5.04%,11.50%,2.07%,0.13%,11.06%,28.13%,1.25%,0.06%,6.08%,10.31%,0.25%,13.10%,0.50%,12.28%,9.37%,0.38%,5.04%
E10,大角咀南,6578,56.95%,103,4,410,422,57,10,300,329,9,975,13,523,381,8,133,3677,69,58.04%,38.35%,3.62%,19.69%,2.80%,0.11%,11.15%,11.48%,1.55%,0.27%,8.16%,8.95%,0.24%,26.52%,0.35%,14.22%,10.36%,0.22%,3.62%
E11,大角咀北,7748,62.83%,108,7,474,674,58,11,327,404,7,1338,17,687,399,22,255,4788,80,52.30%,42.38%,5.33%,9.92%,2.26%,0.15%,9.90%,14.08%,1.21%,0.23%,6.83%,8.44%,0.15%,27.94%,0.36%,14.35%,8.33%,0.46%,5.33%
E12,大南,7565,54.10%,125,8,470,778,71,14,371,515,5,606,11,546,356,14,140,4030,63,61.91%,34.62%,3.47%,27.30%,3.10%,0.20%,11.66%,19.31%,1.76%,0.35%,9.21%,12.78%,0.12%,15.04%,0.27%,13.55%,8.83%,0.35%,3.47%
E13,旺角北,6369,51.39%,84,4,357,727,44,6,281,331,15,529,13,432,269,19,106,3217,56,57.26%,39.45%,3.29%,17.81%,2.61%,0.12%,11.10%,22.60%,1.37%,0.19%,8.73%,10.29%,0.47%,16.44%,0.40%,13.43%,8.36%,0.59%,3.29%
E14,旺角東,6165,58.04%,79,4,463,755,50,15,253,517,4,475,14,477,266,11,159,3542,36,60.39%,35.12%,4.49%,25.27%,2.23%,0.11%,13.07%,21.32%,1.41%,0.42%,7.14%,14.60%,0.11%,13.41%,0.40%,13.47%,7.51%,0.31%,4.49%
E15,旺角南,5561,51.03%,65,5,309,530,45,9,281,328,9,471,9,395,207,9,121,2793,45,59.51%,36.16%,4.33%,23.34%,2.33%,0.18%,11.06%,18.98%,1.61%,0.32%,10.06%,11.74%,0.32%,16.86%,0.32%,14.14%,7.41%,0.32%,4.33%
