號碼,選區,選民人數,投票率,方國珊,林卓廷,廖添誠,陳雲根,梁國雄,張超雄,楊岳橋,麥嘉晉,鄭家富,葛珮帆,侯志強,李梓敬,鄧家彪,范國威,陳玉娥,黃琛喻,李偲嫣,陳志全,梁頌恆,梁金成,容海恩,陳克勤,總有效,無效,非建制,建制,其他,方國珊%,林卓廷%,廖添誠%,陳雲根%,梁國雄%,張超雄%,楊岳橋%,麥嘉晉%,鄭家富%,葛珮帆%,侯志強%,李梓敬%,鄧家彪%,范國威%,陳玉娥%,黃琛喻%,李偲嫣%,陳志全%,梁頌恆%,梁金成%,容海恩%,陳克勤%
N01*,聯和墟,10421,60.88%,286.738075769965,529.19841918779,35.9354047424366,250.266557645135,366.928318342873,555.164349959117,565.012264922322,58.8708094848733,157.844371763423,217.954756064323,48.022894521668,182.171436358681,195.163804851458,250.122104115563,3.69582992641047,24.7034614336331,58.7985827200872,439.662305805397,405.304715181248,5.84791496320523,202.25129463069,1442.67511583538,6282.33278822568,62.3270645952576,56.51%,37.42%,6.07%,4.56%,8.42%,0.57%,3.98%,5.84%,8.84%,8.99%,0.94%,2.51%,3.47%,0.76%,2.90%,3.11%,3.98%,0.06%,0.39%,0.94%,7.00%,6.45%,0.09%,3.22%,22.96%
N02,粉嶺市,6217,60.30%,151,286,8,147,250,349,309,55,81,200,313,123,123,126,3,10,41,267,261,5,133,473,3714,35,56.30%,37.94%,5.76%,4.07%,7.70%,0.22%,3.96%,6.73%,9.40%,8.32%,1.48%,2.18%,5.39%,8.43%,3.31%,3.31%,3.39%,0.08%,0.27%,1.10%,7.19%,7.03%,0.13%,3.58%,12.74%
N03,祥華,11563,53.03%,198,971,16,249,378,436,435,37,122,171,112,120,297,180,7,19,41,442,493,4,171,1141,6040,92,61.74%,34.11%,4.16%,3.28%,16.08%,0.26%,4.12%,6.26%,7.22%,7.20%,0.61%,2.02%,2.83%,1.85%,1.99%,4.92%,2.98%,0.12%,0.31%,0.68%,7.32%,8.16%,0.07%,2.83%,18.89%
N04,華都,11411,61.96%,289,497,11,326,418,541,580,64,160,157,59,147,244,317,7,17,37,535,668,3,174,1728,6979,91,58.20%,36.58%,5.22%,4.14%,7.12%,0.16%,4.67%,5.99%,7.75%,8.31%,0.92%,2.29%,2.25%,0.85%,2.11%,3.50%,4.54%,0.10%,0.24%,0.53%,7.67%,9.57%,0.04%,2.49%,24.76%
N05,華明,11783,54.22%,185,234,24,309,481,427,519,31,105,167,51,117,266,669,9,24,29,493,815,4,138,1223,6320,69,64.56%,31.65%,3.80%,2.93%,3.70%,0.38%,4.89%,7.61%,6.76%,8.21%,0.49%,1.66%,2.64%,0.81%,1.85%,4.21%,10.59%,0.14%,0.38%,0.46%,7.80%,12.90%,0.06%,2.18%,19.35%
N06,欣盛,13567,57.71%,220,451,15,342,446,618,638,55,147,147,42,156,268,384,13,19,42,609,763,3,192,2160,7730,99,57.18%,39.07%,3.75%,2.85%,5.83%,0.19%,4.42%,5.77%,7.99%,8.25%,0.71%,1.90%,1.90%,0.54%,2.02%,3.47%,4.97%,0.17%,0.25%,0.54%,7.88%,9.87%,0.04%,2.48%,27.94%
N07,盛福,9974,59.46%,248,363,9,230,371,531,441,43,145,225,37,147,807,194,2,23,43,424,620,5,212,693,5813,118,57.58%,37.26%,5.16%,4.27%,6.24%,0.15%,3.96%,6.38%,9.13%,7.59%,0.74%,2.49%,3.87%,0.64%,2.53%,13.88%,3.34%,0.03%,0.40%,0.74%,7.29%,10.67%,0.09%,3.65%,11.92%
N08,粉嶺南,7057,71.63%,243,429,9,185,266,477,465,66,151,252,88,198,164,230,4,15,26,411,336,2,249,753,5019,36,59.12%,34.55%,6.34%,4.84%,8.55%,0.18%,3.69%,5.30%,9.50%,9.26%,1.32%,3.01%,5.02%,1.75%,3.95%,3.27%,4.58%,0.08%,0.30%,0.52%,8.19%,6.69%,0.04%,4.96%,15.00%
N09*,清河,9073,51.34%,155.774021652926,284.81758988612,8.29565795784815,198.174051215261,289.426288751591,275.600192155177,302.33064557491,27.6521931928272,70.0522227551621,60.8348250242198,170.521858022434,71.8957023013506,198.174051215261,96.782676174895,2.76521931928272,13.8260965964136,35.0261113775811,272.834972835895,389.895924018863,3.68695909237695,116.139211409874,1554.97499720998,4599.48146774025,58.9913454780313,47.78%,48.06%,4.17%,3.39%,6.19%,0.18%,4.31%,6.29%,5.99%,6.57%,0.60%,1.52%,1.32%,3.71%,1.56%,4.31%,2.10%,0.06%,0.30%,0.76%,5.93%,8.48%,0.08%,2.53%,33.81%
N10*,御太,8208,57.57%,117.225978347074,331.18241011388,8.70434204215185,189.825948784739,225.573711248409,290.399807844823,300.66935442509,35.3478068071728,79.9477772448379,254.16517497578,84.4781419775659,114.104297698649,731.825948784739,111.217323825105,1.23478068071728,14.1739034035864,50.9738886224189,318.165027164105,437.104075981137,7.31304090762305,316.860788590126,665.02500279002,4685.51853225975,40.0086545219687,49.21%,47.35%,3.44%,2.50%,7.07%,0.19%,4.05%,4.81%,6.20%,6.42%,0.75%,1.71%,5.42%,1.80%,2.44%,15.62%,2.37%,0.03%,0.30%,1.09%,6.79%,9.33%,0.16%,6.76%,14.19%
N11,上水鄉郊,9834,56.61%,213,338,4,139,310,273,369,39,111,236,1268,179,112,120,7,18,32,354,235,5,125,981,5468,99,41.55%,53.77%,4.68%,3.90%,6.18%,0.07%,2.54%,5.67%,4.99%,6.75%,0.71%,2.03%,4.32%,23.19%,3.27%,2.05%,2.19%,0.13%,0.33%,0.59%,6.47%,4.30%,0.09%,2.29%,17.94%
N12,彩園,11089,54.74%,209,580,7,244,388,393,383,30,110,173,118,129,300,162,3,28,36,439,487,38,167,1488,5912,158,55.01%,40.83%,4.16%,3.54%,9.81%,0.12%,4.13%,6.56%,6.65%,6.48%,0.51%,1.86%,2.93%,2.00%,2.18%,5.07%,2.74%,0.05%,0.47%,0.61%,7.43%,8.24%,0.64%,2.82%,25.17%
N13,石湖墟,9462,59.89%,193,1167,9,229,318,345,358,57,92,183,90,172,229,152,4,27,14,407,444,9,220,896,5615,52,63.19%,32.20%,4.61%,3.44%,20.78%,0.16%,4.08%,5.66%,6.14%,6.38%,1.02%,1.64%,3.26%,1.60%,3.06%,4.08%,2.71%,0.07%,0.48%,0.25%,7.25%,7.91%,0.16%,3.92%,15.96%
N14,天平西,10413,54.18%,148,629,5,241,392,435,530,49,103,209,78,133,624,148,4,11,19,441,508,6,134,707,5554,88,62.01%,34.35%,3.64%,2.66%,11.33%,0.09%,4.34%,7.06%,7.83%,9.54%,0.88%,1.85%,3.76%,1.40%,2.39%,11.24%,2.66%,0.07%,0.20%,0.34%,7.94%,9.15%,0.11%,2.41%,12.73%
N15,鳳翠,8464,55.13%,162,357,6,182,286,284,425,28,96,134,479,104,153,128,3,17,24,329,363,11,141,895,4607,59,53.79%,41.96%,4.25%,3.52%,7.75%,0.13%,3.95%,6.21%,6.16%,9.23%,0.61%,2.08%,2.91%,10.40%,2.26%,3.32%,2.78%,0.07%,0.37%,0.52%,7.14%,7.88%,0.24%,3.06%,19.43%
N16,沙打,8570,48.89%,174,178,4,106,191,207,262,14,42,93,609,60,59,66,5,7,24,184,197,3,83,1520,4088,102,35.30%,60.00%,4.70%,4.26%,4.35%,0.10%,2.59%,4.67%,5.06%,6.41%,0.34%,1.03%,2.27%,14.90%,1.47%,1.44%,1.61%,0.12%,0.17%,0.59%,4.50%,4.82%,0.07%,2.03%,37.18%
N17*,天平東,9589,56.31%,184.261924230035,529.80158081221,12.0645952575634,263.733442354865,337.071681657127,435.835650040883,508.987735077678,36.1291905151267,111.155628236577,193.045243935677,57.977105478332,131.828563641319,283.836195148542,185.877895884437,4.30417007358953,18.2965385663669,34.2014172799128,449.337694194603,440.695284818752,3.15208503679477,148.74870536931,972.324884164623,5342.66721177432,56.6729354047424,61.47%,34.18%,4.35%,3.45%,9.92%,0.23%,4.94%,6.31%,8.16%,9.53%,0.68%,2.08%,3.61%,1.09%,2.47%,5.31%,3.48%,0.08%,0.34%,0.64%,8.41%,8.25%,0.06%,2.78%,18.20%
N18,皇后山,8377,47.45%,209,235,10,188,222,280,313,42,110,212,292,135,161,124,5,12,46,270,203,4,172,655,3900,75,50.28%,43.03%,6.69%,5.36%,6.03%,0.26%,4.82%,5.69%,7.18%,8.03%,1.08%,2.82%,5.44%,7.49%,3.46%,4.13%,3.18%,0.13%,0.31%,1.18%,6.92%,5.21%,0.10%,4.41%,16.79%
P01*,大埔墟,6090,52.65%,128.810071942446,171.746762589928,2.62877697841727,149.840287769784,170.870503597122,280.402877697842,290.917985611511,18.4014388489209,84.9971223021583,102.522302158273,31.5453237410072,97.2647482014389,142.830215827338,131.438848920863,3.50503597122302,10.5151079136691,22.7827338129496,261.125179856115,185.76690647482,1.75251798561151,119.171223021583,746.572661870504,3155.40863309353,50.8230215827338,55.12%,40.13%,4.75%,4.08%,5.44%,0.08%,4.75%,5.42%,8.89%,9.22%,0.58%,2.69%,3.25%,1.00%,3.08%,4.53%,4.17%,0.11%,0.33%,0.72%,8.28%,5.89%,0.06%,3.78%,23.66%
P02,大埔中,7825,68.66%,193,494,2,230,266,417,524,74,325,170,11,192,180,346,1,14,30,432,453,4,182,808,5348,25,65.54%,29.43%,5.03%,3.61%,9.24%,0.04%,4.30%,4.97%,7.80%,9.80%,1.38%,6.08%,3.18%,0.21%,3.59%,3.37%,6.47%,0.02%,0.26%,0.56%,8.08%,8.47%,0.07%,3.40%,15.11%
P03,頌汀,8998,60.47%,183,360,4,287,329,455,493,74,209,185,17,144,250,294,4,14,37,496,482,0,141,925,5383,58,63.51%,31.64%,4.85%,3.40%,6.69%,0.07%,5.33%,6.11%,8.45%,9.16%,1.37%,3.88%,3.44%,0.32%,2.68%,4.64%,5.46%,0.07%,0.26%,0.69%,9.21%,8.95%,0.00%,2.62%,17.18%
P04,大元,8889,50.68%,136,207,5,231,357,304,400,30,230,138,13,106,293,228,6,19,20,401,315,5,93,879,4416,89,61.07%,35.05%,3.87%,3.08%,4.69%,0.11%,5.23%,8.08%,6.88%,9.06%,0.68%,5.21%,3.13%,0.29%,2.40%,6.63%,5.16%,0.14%,0.43%,0.45%,9.08%,7.13%,0.11%,2.11%,19.90%
