號碼,選區,選民人數,投票率,黃潤達,尹兆堅,高志輝,周永勤,鄭松泰,鄺官穩,田北辰,何君堯,梁志祥,郭家麒,黃浩銘,李卓人,黃俊傑,麥美娟,馮檢基,陳恒鑌,張慧晶,呂智恆,湯詠芝,朱凱廸,總有效,無效,非建制,建制,得票率差,黃潤達%,尹兆堅%,高志輝%,周永勤%,鄭松泰%,鄺官穩%,田北辰%,何君堯%,梁志祥%,郭家麒%,黃浩銘%,李卓人%,黃俊傑%,麥美娟%,馮檢基%,陳恒鑌%,張慧晶%,呂智恆%,湯詠芝%,朱凱廸%
K01*,德華,7806,60.26%,149.132598781472,288.647225960725,4.50211153307081,7.99923262219506,328.197702590948,0.57220936300259,501.506072805975,218.240460707649,34.7933415440317,413.672844920337,241.798339526223,228.757346469463,65.9226120789082,235.834535992975,120.897560696407,1239.40384893005,8.87810391474744,4.11333311574404,21.8119513993466,547.870598103579,4662.55203105685,41.0338639566404,51.71%,48.10%,3.60%,3.20%,6.19%,0.10%,0.17%,7.04%,0.01%,10.76%,4.68%,0.75%,8.87%,5.19%,4.91%,1.41%,5.06%,2.59%,26.58%,0.19%,0.09%,0.47%,11.75%
K02*,楊屋道,8094,64.16%,167.485384239092,284.835870360505,5.32533178951992,12.5720977909632,394.032659203916,2.45058816560715,431.462460929418,162.882378124828,27.4587709903997,487.938867764751,228.032693169189,209.806947089762,58.4760883235113,170.862732857738,145.875145517012,1637.73458436322,11.5434611591171,7.73953296543348,24.0562760802324,683.655555858598,5154.22742674281,39.1173508106015,52.23%,47.55%,4.68%,3.25%,5.53%,0.10%,0.24%,7.64%,0.05%,8.37%,3.16%,0.53%,9.47%,4.42%,4.07%,1.13%,3.32%,2.83%,31.77%,0.22%,0.15%,0.47%,13.26%
K03*,海濱,10513,71.96%,192.801474710628,480.906234981125,8.89579808552067,11.5228978649689,646.174450403686,3.59708291555599,1028.94204285074,460.330225646553,75.2802690387261,785.682608070517,329.396302231772,366.647993347094,109.37356124926,360.133657127323,293.780297899816,1224.78944688929,18.5199941081032,6.21904058016309,38.0208580201368,1063.28287661967,7504.29711264065,60.3563867551151,57.46%,42.29%,15.18%,2.57%,6.41%,0.12%,0.15%,8.61%,0.05%,13.71%,6.13%,1.00%,10.47%,4.39%,4.89%,1.46%,4.80%,3.91%,16.32%,0.25%,0.08%,0.51%,14.17%
K04*,祈德尊,7395,59.13%,73.6391359639834,207.855406010918,4.98174241213823,1.98552199598722,270.404337426426,2.01440504248521,362.452005141527,198.908880395721,30.7503651640079,322.726659196718,267.225646405341,208.806927193202,57.7645749589455,249.982010356226,124.259909482088,1235.4078211107,8.88976756061867,4.97532782542978,187.172313680427,467.176056222923,4287.37881354581,85.4946853135046,51.13%,48.67%,2.46%,1.72%,4.85%,0.12%,0.05%,6.31%,0.05%,8.45%,4.64%,0.72%,7.53%,6.23%,4.87%,1.35%,5.83%,2.90%,28.81%,0.21%,0.12%,4.37%,10.90%
K05,福來,7419,57.22%,78,200,2,4,295,2,258,122,18,267,313,184,48,1469,103,349,10,3,32,378,4135,110,45.97%,53.78%,-7.81%,1.89%,4.84%,0.05%,0.10%,7.13%,0.05%,6.24%,2.95%,0.44%,6.46%,7.57%,4.45%,1.16%,35.53%,2.49%,8.44%,0.24%,0.07%,0.77%,9.14%
K06,愉景,9759,74.54%,118,379,3,7,505,2,2650,172,35,818,292,450,90,166,222,394,15,12,16,883,7229,45,52.36%,47.43%,4.92%,1.63%,5.24%,0.04%,0.10%,6.99%,0.03%,36.66%,2.38%,0.48%,11.32%,4.04%,6.22%,1.24%,2.30%,3.07%,5.45%,0.21%,0.17%,0.22%,12.21%
K07*,荃灣中心,8026,62.54%,138.964364807731,405.582041473727,5.65552647473324,8.0793235353332,417.701026776726,2.42379706059996,632.61103281659,172.89752365613,29.8934970807328,483.951479766459,219.757600161063,259.346285484196,75.9456412321321,193.903764847997,135.732635393598,1013.14717133078,12.9269176565331,10.5031205959332,17.774511777733,739.258103482988,4976.05536541172,43.6283470907993,58.37%,41.37%,17.00%,2.79%,8.15%,0.11%,0.16%,8.39%,0.05%,12.71%,3.47%,0.60%,9.73%,4.42%,5.21%,1.53%,3.90%,2.73%,20.36%,0.26%,0.21%,0.36%,14.86%
K08*,荃威,9432,65.03%,137.42527450444,389.255262660673,3.42032771823225,9.80781664008997,459.238368416386,2.51977302711162,822.589586725903,304.410426921711,42.3164841472293,591.221474576517,268.621387041352,314.258188055157,83.487335073878,222.259001116391,228.566293524432,1299.98496573772,6.87710210216691,11.3514513515147,25.8619180908867,853.998945550836,6077.47138298263,55.8399933416809,55.34%,44.55%,10.79%,2.26%,6.40%,0.06%,0.16%,7.56%,0.04%,13.54%,5.01%,0.70%,9.73%,4.42%,5.17%,1.37%,3.66%,3.76%,21.39%,0.11%,0.19%,0.43%,14.05%
K09*,麗濤,10269,68.41%,153.073913000569,453.841734856048,3.06539913309823,14.059453757362,559.376097363577,2.02972687868101,945.267602902275,341.262834402857,57.4161763015342,875.005124813715,328.577147595038,276.639403421158,88.4876706379394,280.021427750309,278.463011913818,1273.46262342525,12.0829736274189,8.05187985509994,24.1296996377498,1000.90264630694,6975.21654758044,50.3097682090307,58.01%,41.81%,16.20%,2.19%,6.51%,0.04%,0.20%,8.02%,0.03%,13.55%,4.89%,0.82%,12.54%,4.71%,3.97%,1.27%,4.01%,3.99%,18.26%,0.17%,0.12%,0.35%,14.35%
K10*,汀深,7414,70.29%,98.2114285714286,258.045714285714,6.41904761904762,9.62857142857143,374.872380952381,3.85142857142857,1191.37523809524,313.249523809524,55.2038095238095,665.013333333333,252.268571428571,211.828571428571,72.5352380952381,148.28,167.537142857143,541.767619047619,16.047619047619,4.49333333333333,16.6895238095238,769.64380952381,5176.96190476191,34.0209523809524,55.85%,43.84%,12.00%,1.90%,4.98%,0.12%,0.19%,7.24%,0.07%,23.01%,6.05%,1.07%,12.85%,4.87%,4.09%,1.40%,2.86%,3.24%,10.46%,0.31%,0.09%,0.32%,14.87%
