號碼,選區,許智峯,鄭達鴻,楊雪盈,徐子見,袁嘉蔚,彭卓棋,梁晃維,黃碧雲,何啟明,毛孟靜,岑子杰,安德里,劉偉聰,張崑陽,馮達浚,劉澤鋒,胡志偉,譚文豪,施德來,譚得志,黃之鋒,李嘉達,尹兆堅,郭家麒,吳敏兒,譚凱邦,朱凱廸,黃子悅,伍健偉,張可森,林卓廷,楊岳橋,柯耀林,李芝融,范國威,梁國雄,陳志全,林景楠,何桂藍,劉頴匡,呂智恆,鄒家成,涂謹申,鄺俊宇,李予信,岑敖暉,王百羽,票站位置1,票站位置2,設實體投票
A01,中環,257,44,36,21,129,11,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,232,9,142,52,中環結志街23號嘉咸市集1樓12號舖,中環德己立街50號友信大廈5樓,Y (1 only)
A03,衛城,167,56,33,17,96,13,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,158,14,106,45,香港半山堅道134號地庫A舖,,
A07,堅摩,739,178,81,32,263,29,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,602,40,325,89,香港堅尼地城西環邨東苑臺1樓101室,,
A08,西環,428,289,50,18,208,30,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,728,82,422,184,香港堅尼地城海傍道46-47號南海商場地舖5A,,
A09,寶翠,1178,293,128,55,527,63,970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,1420,63,743,292,皇后大道西540-546號地下E舖,,
A10,石塘咀,886,166,122,54,548,94,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,1127,38,597,222,西營盤朝光街一號地鋪A,,
A12,上環,627,109,104,43,232,43,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,570,31,320,114,香港皇后大道西2-12號聯發商業中心一樓百匯廣場C1舖外,,
A14,正街,932,213,130,52,587,62,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,940,46,605,171,西營盤第三街56-72號福滿大廈1樓R舖,,
B01,軒尼詩,643,203,367,65,440,58,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,855,46,548,216,灣仔克街1-5號展鴻大廈地下D-E號舖,,
B02,愛群,148,44,86,15,104,15,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,195,10,122,48,寶靈頓道38號,,
B03,鵝頸,613,210,291,113,459,56,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,902,69,503,241,銅鑼灣登龍街28號永光中心地下,,
B04,銅鑼灣,500,191,214,104,338,75,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,679,48,386,194,謝斐道526號地舖,,
B05,維園,520,196,231,45,316,128,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,581,47,402,140,天后清風街6-8號凱豐商業大廈2B,,Y
B07,大坑,285,124,563,34,197,49,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,560,38,296,108,施弼街27號地下,,
B10,跑馬地,444,186,105,34,246,107,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,422,48,291,56,跑馬地昌明街2號閣樓,,
B13,大佛口,300,106,107,39,216,19,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,364,20,224,69,灣仔秀華坊26號地下,,
C01,太古城西,750,337,157,104,399,36,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,772,46,454,142,太古城興安閣平台P514,,
C02,太古城東,661,323,127,73,390,42,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,698,52,400,115,香港太古城太湖閣2號舖,,
C03,鯉景灣,1036,382,164,200,626,103,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,1293,83,680,285,西灣河康祥街4號太順樓地舖C店,,
C04,西灣河,1255,357,202,286,798,144,806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,1660,61,935,510,筲箕灣海利街6號海利大廈地舖,,
C07,阿公岩,1586,349,252,377,959,121,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,2148,95,988,548,香港筲箕灣東大街62-74號泰安閣地下16號舖,,
C10/C11,欣藍/小西灣,483,140,74,693,233,48,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,1004,33,407,192,小西灣邨瑞益樓地下14號鋪,,Y
C12,景怡,754,227,118,724,386,68,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,1370,55,592,288,香港柴灣小西灣道18號富景花園商場1樓112號舖,,
C13,環翠,448,126,58,858,261,37,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,1052,45,442,259,柴灣環翠邨喜翠樓113室,,
C14/C31,翡翠/興民,565,179,83,948,331,53,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,1220,76,524,330,柴灣興華一邨興翠樓地下2室,,
C17/C20,炮台山/堡壘,896,591,179,113,655,99,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,1180,221,693,316,炮台山長康街20號中天樓地舖,,Y
C18,城市花園,209,147,51,32,179,29,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,318,55,168,73,北角炮台山京華道9-27號富利來商場7號地舖,,
C21,錦屏,829,1699,139,128,507,64,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,1324,832,638,345,香港北角錦屏街25A號東發大廈地下31號舖,,
C24/C25,鰂魚涌/南豐,920,389,184,159,627,81,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,1248,98,631,302,香港鰂魚涌英皇道995-997號萬利廣場220鋪,,
C26,康怡,461,516,74,63,262,25,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,631,117,330,80,鰂魚涌康盛街18號地下,,
C27,康山,771,595,175,116,564,72,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,1089,112,629,222,康山花園2座地下H4A鋪,,
C34,漁灣,381,94,51,1321,238,40,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,1111,39,468,253,香港柴灣漁灣邨漁順樓地下29號舖,,
C35,佳曉,212,44,37,518,143,24,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,558,22,273,135,小西灣邨瑞強樓地下1號,,
D01,香港仔,838,270,109,50,1879,80,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,1691,75,820,306,香港仔舊大街120號兆群大廈地下7號舖,,
D02,鴨脷洲邨,682,93,60,24,554,36,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,855,15,317,144,鴨脷洲西邨利福樓低座地下5號,,
D03,鴨脷洲北,574,106,75,20,406,45,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,684,29,325,110,香港南區鴨脷洲大街25-31號年豐大廈地下11號舖,,
D04/D05,利東一/利東二,979,108,78,53,760,75,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,1095,24,382,177,鴨脷洲利東商場二期403號舖,,
D06/D07,海怡東/海怡西,826,614,153,42,1095,52,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,1319,118,828,233,鴨脷洲海怡半島東商場地下G58號舖,,
D08,華貴,444,100,47,27,548,39,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,716,28,273,121,香港仔華貴邨華禮樓地下G02室,,
D09/D10,華富南/華富北,818,92,66,25,553,47,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,967,19,331,183,華富邨華泰樓119室,,
D12,置富,524,205,88,24,427,43,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,592,35,343,89,香港薄扶林置富花園巴士總站,,
D14,石漁,306,58,43,15,586,101,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,684,14,290,168,香港仔石排灣邨碧山樓地下2號,,
D15,黃竹坑,160,45,26,10,150,15,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,194,9,109,27,黃竹坑業興街11號南匯廣場B座9樓916C室,,
D17,赤柱及石澳,172,46,27,15,81,358,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,342,16,151,65,赤柱馬坑邨駿馬樓地下2號,,
E01,尖沙咀西,0,0,0,0,0,0,0,50,22,174,500,40,106,297,133,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,538,30,332,155,西九龍站巴士總站旅遊巴停車場,,
E04,油麻地南,0,0,0,0,0,0,0,65,23,198,505,30,101,314,105,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,609,17,311,127,九龍新填地街151號俊逸豪園1樓A舖,,
E06,旺角西,0,0,0,0,0,0,0,32,18,127,372,25,65,319,141,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,506,16,285,134,旺角砵蘭街160號地下至2樓,,
E07,富柏,0,0,0,0,0,0,0,30,20,134,349,12,82,277,125,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,437,13,232,150,旺角通菜街1M至1T號華發大廈地下D舖,,
E08,奧運,0,0,0,0,0,0,0,143,53,472,1250,49,292,752,366,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,1413,42,694,334,九龍大角咀鐵樹街32-76號富多來商場第二期1/F13號舖,,
